X,Y
1577307271.0,8.175392
1577307272.8947368,8.013829112501622
1577307274.7894738,7.681238051382995
1577307276.6842105,6.655772846447682
1577307278.5789473,6.275827477770329
1577307280.4736843,5.447608648442459
1577307282.368421,2.5080796559395315
1577307284.2631578,2.827593737471962
1577307286.1578948,4.51161204808414
1577307288.0526316,4.8215310865643985
1577307289.9473684,5.898382559563637
1577307291.8421052,7.026584045549059
1577307293.7368422,6.969233567334557
1577307295.631579,6.013035914167881
1577307297.5263157,5.674025118308449
1577307299.4210527,5.871163000451803
1577307301.3157895,6.09432090272212
1577307303.2105262,6.593138891582989
1577307305.1052632,7.181360809177971
1577307307.0,7.1733055
