,timestamp,latitude,longitude,speed_meters_per_second,distance_meters,elapsed_time_seconds,paved_road,unpaved_road,dirt_road,cobblestone_road,asphalt_road,no_speed_bump,speed_bump_asphalt,speed_bump_cobblestone,good_road_left,regular_road_left,bad_road_left,good_road_right,regular_road_right,bad_road_right
0,1577309582.0,-27.69029235905947,-51.127643067772745,9.060681,9.09717565824382,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,1577309583.0,-27.690267801594448,-51.12756034257432,8.558809,8.60195728616179,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2,1577309584.0,-27.69024409605623,-51.12748728206446,7.5531764,7.670647441563264,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3,1577309585.0,-27.69022103469508,-51.12742033494201,7.0096135,7.081005521389606,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
4,1577309586.0,-27.690198448626028,-51.12735100625028,7.2405686,7.282319117295632,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5,1577309587.0,-27.69018273031295,-51.127274029450106,7.704538,7.7903458872518625,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6,1577309588.0,-27.69017672780967,-51.12719312224751,8.01555,8.00849983058644,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7,1577309589.0,-27.69017828572405,-51.12710702874973,8.525054,8.494168685648221,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
8,1577309590.0,-27.69018378522453,-51.12701668301821,8.992194,8.93267460867533,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
9,1577309591.0,-27.69019114435996,-51.12692672718874,8.897242,8.910795385200617,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
10,1577309592.0,-27.690198001323537,-51.12684497018851,8.114246,8.100370538316318,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
11,1577309593.0,-27.690203777868785,-51.126775578583256,6.8164334,6.874775138899985,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
12,1577309594.0,-27.69020831338203,-51.12672033114394,5.44949,5.47283037363279,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
13,1577309595.0,-27.690213258591832,-51.12667743765914,4.316625,4.266427846931564,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
14,1577309596.0,-27.6902163040802,-51.12664106488126,3.639359,3.603710931240194,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
15,1577309597.0,-27.69021926760692,-51.12660273236222,3.9481745,3.795420031546047,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
16,1577309598.0,-27.69022331945624,-51.12655950341796,4.297193,4.287751540245141,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
17,1577309599.0,-27.690226806026413,-51.1265129843901,4.6034527,4.6049535855871575,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
18,1577309600.0,-27.690229514921235,-51.12646713771024,4.519371,4.53234686991883,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
19,1577309601.0,-27.69023380221178,-51.12641914638752,4.763131,4.757726408161124,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
20,1577309602.0,-27.6902386555945,-51.12636928156279,4.916282,4.948067429253384,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
21,1577309603.0,-27.69024476882126,-51.12632130915871,4.7353015,4.780323624303983,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
22,1577309604.0,-27.690249339020284,-51.12627711949853,4.30331,4.388265079439438,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
23,1577309605.0,-27.69025172275142,-51.12623415842486,4.172472,4.245977787927021,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
24,1577309606.0,-27.690250691795168,-51.12619029757556,4.3657475,4.328016541996326,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
25,1577309607.0,-27.69024834679228,-51.12614528089363,4.4193316,4.448118838057054,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
26,1577309608.0,-27.69024461454707,-51.12609341964739,5.143264,5.132372730663056,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
27,1577309609.0,-27.69023108938347,-51.12603089413072,6.35249,6.347120121821148,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
28,1577309610.0,-27.690218772354186,-51.12596313946129,6.8078394,6.82138512603437,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
29,1577309611.0,-27.69020554353872,-51.12589088544082,7.5258665,7.276458504378364,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
30,1577309612.0,-27.6902077049868,-51.1258067267387,8.1525545,8.3050148880708,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
31,1577309613.0,-27.69021055518724,-51.12572048856824,9.225925,8.512543853243358,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
32,1577309614.0,-27.690209200223965,-51.125620964817415,9.395128,9.81834316405756,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
33,1577309615.0,-27.69020710034834,-51.125522270882975,9.641758,9.738121215578117,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
34,1577309616.0,-27.69020211893629,-51.12542582914393,9.46649,9.52918258140164,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
35,1577309617.0,-27.69019407661928,-51.12533575046325,9.2333975,8.930099366696624,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
36,1577309618.0,-27.690187534483552,-51.12524606837546,8.984097,8.876053569193957,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
37,1577309619.0,-27.690182191024967,-51.12515667541241,8.824288,8.837737460649507,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
38,1577309620.0,-27.690177836152017,-51.12507126144264,8.226892,8.439193268810328,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
39,1577309621.0,-27.69017031182913,-51.124993332509405,7.5182176,7.732135898058157,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
40,1577309622.0,-27.6901612741134,-51.12491816355417,7.4002357,7.482129566745496,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
