,timestamp,latitude,longitude,speed_meters_per_second,distance_meters,elapsed_time_seconds,paved_road,unpaved_road,dirt_road,cobblestone_road,asphalt_road,no_speed_bump,speed_bump_asphalt,speed_bump_cobblestone,good_road_left,regular_road_left,bad_road_left,good_road_right,regular_road_right,bad_road_right
0,1577308889.999,-27.717614513057587,-51.10967980058351,2.7823305,2.58626084362007,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,1577308890.999,-27.717613280152943,-51.10970654784727,2.9191937,2.641273236150374,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2,1577308891.999,-27.717611208370084,-51.10973431612998,2.533585,2.748034377058591,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3,1577308892.999,-27.717606594202053,-51.10976201631526,2.2994442,2.7791538283922925,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4,1577308894.999,-27.71760920886808,-51.10982449136797,2.6079795,6.16791748409196,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5,1577308895.999,-27.717610870268167,-51.10984965844912,2.2239552,2.488723593027549,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6,1577308896.999,-27.71761075847832,-51.10987981737596,2.2150648,2.9742114794935843,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7,1577308897.999,-27.7176122151752,-51.10990448790286,1.9895366,2.438284922163822,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8,1577308898.999,-27.717612920537896,-51.10992844296057,1.9485841,2.3636708824239885,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9,1577308899.999,-27.717617778058543,-51.10995387358926,2.1317515,2.565012017209136,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10,1577308900.999,-27.71762260487557,-51.1099790172284,1.8616954,2.5366273872079,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11,1577308901.999,-27.717624012059336,-51.10999559139493,1.6069165,1.6419175597901838,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
12,1577308902.999,-27.71762058932129,-51.11001270871901,1.528846,1.7301472960881428,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
13,1577308903.999,-27.71762055404579,-51.11002821028109,1.538033,1.5287238442162223,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
14,1577308904.999,-27.71761984839074,-51.110051049144616,1.8785498,2.2536591702527025,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
15,1577308905.999,-27.71761821744632,-51.11006984506154,1.7884225,1.862388776319821,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
16,1577308906.999,-27.717615163452585,-51.11009602474402,2.3079278,2.60385081436174,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
