,timestamp,latitude,longitude,speed_meters_per_second,distance_meters,elapsed_time_seconds,paved_road,unpaved_road,dirt_road,cobblestone_road,asphalt_road,no_speed_bump,speed_bump_asphalt,speed_bump_cobblestone,good_road_left,regular_road_left,bad_road_left,good_road_right,regular_road_right,bad_road_right
0,1577397976.999,-27.68845612756082,-51.12517951333879,8.945684,9.062645455754565,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,1577397977.999,-27.688372566566866,-51.12519424521187,9.334261,9.373102191909425,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2,1577397978.999,-27.688288728028848,-51.125197102793145,9.305374,9.2947962122058,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3,1577397979.999,-27.68820654155504,-51.12519021881022,9.222655,9.132728860955114,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
4,1577397980.999,-27.688131213662835,-51.12517228136049,8.6193075,8.532890341010653,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5,1577397981.999,-27.688065236449223,-51.12514595128558,7.7955737,7.75886533028197,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6,1577397982.999,-27.68800203548124,-51.12512849851253,7.243889,7.2120771504486845,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7,1577397983.999,-27.68794069956536,-51.12512007035832,6.8901696,6.847562966563954,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
8,1577397984.999,-27.68787765915081,-51.1251082532247,7.0651073,7.082376759149496,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
9,1577397985.999,-27.687813336620547,-51.12510041252215,7.1807284,7.1697045318275245,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
10,1577397986.999,-27.687752056909613,-51.12509264469284,6.8351445,6.833770952734132,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
11,1577397987.999,-27.68770197108848,-51.12508671239116,5.5794415,5.580996029813004,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
12,1577397988.999,-27.687655379180296,-51.12507901319034,5.2290635,5.21861629825815,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
13,1577397989.999,-27.68760678698229,-51.12506963566952,5.4897676,5.463594806464492,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
14,1577397990.999,-27.6875547323196,-51.12505647607873,5.9223623,5.91266725972189,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
15,1577397991.999,-27.68749890680485,-51.12504258235841,6.35944,6.336271215359638,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
16,1577397992.999,-27.68743886985027,-51.12502891250756,6.720426,6.788240554954208,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
17,1577397993.999,-27.687378666104244,-51.12501498858866,6.8142,6.811365761829937,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
18,1577397994.999,-27.68732023351199,-51.12500098646542,6.640423,6.620851709672283,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
19,1577397995.999,-27.68727037202739,-51.12498661657206,5.7091837,5.704302342367968,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
20,1577397996.999,-27.687230590388,-51.12496847570328,4.746704,4.757741308400228,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
21,1577397997.999,-27.687198526093148,-51.12494203509448,4.4250946,4.407713454634589,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
22,1577397998.999,-27.687173266525864,-51.12490237912765,4.7925587,4.810155640202331,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
23,1577397999.999,-27.687161748930905,-51.12484868142067,5.412244,5.448577360609218,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
24,1577398000.999,-27.68716629799184,-51.124786616035024,6.1069045,6.143125020558331,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
25,1577398001.999,-27.68717643044212,-51.12471588355762,7.0822577,7.067133813756559,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
26,1577398002.999,-27.68718713150208,-51.12464002476468,8.071815,7.576425278978367,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
27,1577398003.999,-27.68720061769719,-51.12454909136131,8.982836,9.09371575611658,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
28,1577398004.999,-27.687210254199336,-51.12444909976764,9.96335,9.921250413996844,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
29,1577398005.999,-27.68720985263392,-51.12434436858709,10.266007,10.331243060594844,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
30,1577398006.999,-27.68720159751473,-51.12424481174259,9.794898,9.863241675848784,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
31,1577398007.999,-27.687188484716025,-51.12414536570361,9.819335,9.916834940614612,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
32,1577398008.999,-27.6871768170735,-51.1240455738096,10.098926,9.928463918733572,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
