,timestamp,latitude,longitude,speed_meters_per_second,distance_meters,elapsed_time_seconds,paved_road,unpaved_road,dirt_road,cobblestone_road,asphalt_road,no_speed_bump,speed_bump_asphalt,speed_bump_cobblestone,good_road_left,regular_road_left,bad_road_left,good_road_right,regular_road_right,bad_road_right
0,1577397635.999,-27.71280981857673,-51.11945693864112,17.338778,17.285976530836116,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,1577397636.999,-27.71265688374809,-51.11946703089558,17.021769,16.976649594060028,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2,1577397637.999,-27.712508640630315,-51.11950459438175,16.859898,16.840065203890077,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3,1577397638.999,-27.712363609840093,-51.11955201230722,16.761683,16.73810602037131,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4,1577397639.999,-27.712216024040696,-51.11959680444861,16.973001,16.940785659808927,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5,1577397640.999,-27.712063126877283,-51.11964378041825,17.604246,17.565247346163392,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
6,1577397641.999,-27.711908789338715,-51.119700894141786,18.008715,18.00654897367463,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
7,1577397642.999,-27.711758178852044,-51.11977386442256,18.169432,18.17529777409093,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
8,1577397643.999,-27.7116122032336,-51.11986142172677,18.321651,18.336756013902885,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
9,1577397644.999,-27.71147158014922,-51.11996269285999,18.489435,18.50908338676808,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
10,1577397645.999,-27.71133801209947,-51.120078054481006,18.636648,18.668726196496767,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
11,1577397646.999,-27.71120889728452,-51.120203906958814,18.899612,18.94122322154186,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
12,1577397647.999,-27.7110855191354,-51.12033858000937,19.04386,19.061335397534805,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
13,1577397648.999,-27.71097049771456,-51.120478380743215,18.751207,18.77656904539469,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
14,1577397649.999,-27.710862773880947,-51.120619249267065,18.287762,18.317037846302988,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
15,1577397650.999,-27.710763391036803,-51.12076153448327,17.813793,17.838237143787293,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
16,1577397651.999,-27.7106742023129,-51.12090647448901,17.352314,17.378544362652043,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
17,1577397652.999,-27.71059450933306,-51.12105291766002,16.910759,16.928719382580756,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
18,1577397653.999,-27.7105174259056,-51.12119639709925,16.500872,16.52877272695102,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
19,1577397654.999,-27.7104410697004,-51.121337028648895,16.221466,16.246858265715293,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
20,1577397655.999,-27.71036766074876,-51.1214754339781,15.858806,15.890192328920808,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
21,1577397656.999,-27.710294519009675,-51.12161202808919,15.709098,15.72173340538317,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
