,timestamp,latitude,longitude,speed_meters_per_second,distance_meters,elapsed_time_seconds,paved_road,unpaved_road,dirt_road,cobblestone_road,asphalt_road,no_speed_bump,speed_bump_asphalt,speed_bump_cobblestone,good_road_left,regular_road_left,bad_road_left,good_road_right,regular_road_right,bad_road_right
0,1577397922.999,-27.69023152981189,-51.12621157616904,7.355423,7.360248932946085,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,1577397923.999,-27.6902333112788,-51.12613602397055,7.4221563,7.455212238048644,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2,1577397924.999,-27.69023458551999,-51.12605988545844,7.3861423,7.511760218340084,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3,1577397925.999,-27.69023202874666,-51.12598401160589,7.3505187,7.489687427984988,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
4,1577397926.999,-27.69022887226361,-51.12591159937959,7.1758733,7.151425245295872,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5,1577397927.999,-27.69023004760153,-51.125839728764326,6.99841,7.090636888595502,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6,1577397928.999,-27.690234030101344,-51.12576966897712,6.9720545,6.924894015478658,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7,1577397929.999,-27.69023738556476,-51.12569774494709,7.1596904,7.104446340453708,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
8,1577397930.999,-27.690232712901874,-51.12562454426507,7.372495,7.23918238275027,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
9,1577397931.999,-27.69021992019699,-51.125546157196,7.680068,7.861112852614512,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
10,1577397932.999,-27.69020526199012,-51.12546690403299,7.9263325,7.984637310432823,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
11,1577397933.999,-27.69019216030994,-51.12538353462327,8.249125,8.350879433722053,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
12,1577397934.999,-27.690182366168084,-51.12529842149619,8.201212,8.465568944305925,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
13,1577397935.999,-27.690174305279925,-51.12521713128857,8.088654,8.068209837599698,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
14,1577397936.999,-27.69017083018841,-51.12513337667214,8.194722,8.270673055271693,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
15,1577397937.999,-27.690165701588143,-51.12505206819198,8.017629,8.040522579999045,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
16,1577397938.999,-27.69015891172772,-51.12497601092404,7.5471015,7.54005904814277,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
17,1577397939.999,-27.69015327373616,-51.12490052780736,7.4386544,7.471954973095308,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
18,1577397940.999,-27.690149432913948,-51.12482823925188,7.218955,7.143362966511504,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
19,1577397941.999,-27.69014610695013,-51.12475890583605,6.884077,6.849095816132452,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
20,1577397942.999,-27.69014329443584,-51.124693218618745,6.5218415,6.48699597021293,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
21,1577397943.999,-27.69013677394648,-51.12463461379886,5.8465385,5.825866925428121,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
22,1577397944.999,-27.69012727331058,-51.12458534576201,5.043028,4.972616471417258,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
23,1577397945.999,-27.690111902329186,-51.12454534497299,4.2690067,4.297705071955968,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
24,1577397946.999,-27.69008930103614,-51.12451903132386,3.5319097,3.6069445840449306,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
25,1577397947.999,-27.69006035249308,-51.12450284524365,3.56157,3.583287016926133,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
26,1577397948.999,-27.690027822124907,-51.12448715855352,4.3010616,3.922904087244527,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
27,1577397949.999,-27.68998535601624,-51.12449038877288,4.9010572,4.716634439156123,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
28,1577397950.999,-27.689933158085594,-51.12449643087484,5.6013994,5.814910681488224,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
29,1577397951.999,-27.68987785387694,-51.12450458256957,5.98891,6.1810329234048735,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
30,1577397952.999,-27.689818726421883,-51.12451424668279,6.412658,6.62116210336221,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
31,1577397953.999,-27.689759845952256,-51.12452700638487,6.615589,6.645096091174318,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
32,1577397954.999,-27.689697332600403,-51.124541946565095,6.8317475,7.082409904890948,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
33,1577397955.999,-27.68963754781272,-51.12456191617888,6.925575,6.911669654723808,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
34,1577397956.999,-27.68957738143674,-51.12458452653784,7.121592,7.030459157142236,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
35,1577397957.999,-27.68951552456923,-51.12460936351904,7.295068,7.279314458051528,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
36,1577397958.999,-27.689452397757844,-51.12463544573707,7.4651275,7.45348742747659,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
