X,Y
1577221484.0,4.0721216
1577221487.631579,3.8356010813762667
1577221491.2631578,4.014444840090752
1577221494.8947368,3.8463172790288924
1577221498.5263157,2.876762563663101
1577221502.1578948,2.7549072556114913
1577221505.7894738,2.341447808121991
1577221509.4210527,2.4579055388018607
1577221513.0526316,2.5516309203500747
1577221516.6842105,2.3857585122716904
1577221520.3157895,3.296522795705247
1577221523.9473684,3.264740360006356
1577221527.5789473,3.6607004571359396
1577221531.2105262,3.9276989041086434
1577221534.8421052,4.960619030514955
1577221538.4736843,5.489865043481446
1577221542.1052632,7.130618095368003
1577221545.7368422,6.375709102478695
1577221549.368421,6.561353774347544
1577221553.0,4.9853296
