X,Y
1577221792.0,18.215395
1577221798.4736843,17.58608103085518
1577221804.9473684,18.606203203208686
1577221811.4210527,14.08693523527503
1577221817.8947368,14.810360236609936
1577221824.368421,17.58576115512848
1577221830.8421052,12.190163190568327
1577221837.3157895,3.8267716665885687
1577221843.7894738,8.946388433359147
1577221850.2631578,13.08335747067356
1577221856.7368422,11.837735714658738
1577221863.2105262,3.400014626946616
1577221869.6842105,4.003897740877867
1577221876.1578948,4.450880082901859
1577221882.631579,9.95175019824791
1577221889.1052632,8.38930156346426
1577221895.5789473,5.625019679708767
1577221902.0526316,10.459790848966598
1577221908.5263157,10.434307121026993
1577221915.0,10.051357
