X,Y
1577397558.999,6.7108693
1577397562.999,5.9293623
1577397566.999,5.207703
1577397570.999,5.6172853
1577397574.999,5.7017592
1577397578.999,5.8273363
1577397582.999,5.948333
1577397586.999,3.8698838
1577397590.999,4.9428077
1577397594.999,7.1799235
1577397598.999,10.562811499999999
1577397602.999,11.774926
1577397606.999,15.034104
1577397610.999,15.785352
1577397614.999,17.947256
1577397618.999,17.061005
1577397622.999,16.538301
1577397626.999,17.005945
1577397630.999,18.087046
1577397634.999,17.556208
