X,Y
1577396100.0,8.559487
1577396100.7368422,8.39117530432415
1577396101.4736843,8.238764480439185
1577396102.2105262,8.058135111522555
1577396102.9473684,7.784874619223952
1577396103.6842105,7.197458105374288
1577396104.4210527,6.390209255609608
1577396105.1578948,5.292889803902149
1577396105.8947368,3.670061797398567
1577396106.631579,3.032841984529686
1577396107.368421,3.0777812875909327
1577396108.1052632,3.7190273399127958
1577396108.8421052,4.830767940130806
1577396109.5789473,5.969263212962723
1577396110.3157895,6.9843042646302225
1577396111.0526316,7.775949555228544
1577396111.7894738,7.929799028866601
1577396112.5263157,8.123076497835159
1577396113.2631578,8.391208658700943
1577396114.0,8.765691
