X,Y
1577396310.0,9.618229
1577396313.1052632,10.183966028045415
1577396316.2105262,9.084296757035018
1577396319.3157895,8.801038575567484
1577396322.4210527,9.700474586296558
1577396325.5263157,9.323872865320206
1577396328.631579,6.460461254699945
1577396331.7368422,3.340235989390373
1577396334.8421052,2.658609290516782
1577396337.9473684,3.150447794290686
1577396341.0526316,3.079003849341893
1577396344.1578948,3.9527410103030203
1577396347.2631578,5.004144192117024
1577396350.368421,5.658991034531688
1577396353.4736843,8.261847596422195
1577396356.5789473,9.336126932311535
1577396359.6842105,8.855909732209444
1577396362.7894738,8.522692162890197
1577396365.8947368,9.488646968518733
1577396369.0,9.568662
