,timestamp,speed_meters_per_second
0,1577307090.0,8.321714826879997
1,1577307154.0,5.8501228422399985
2,1577307218.0,6.760379092799998
3,1577307271.0,6.249626740159997
4,1577307308.0,6.447658715199999
5,1577307380.0,6.475775273599998
6,1577307429.0,6.560798206559999
7,1577307475.0,6.646835166079998
8,1577307530.0,6.3456530798719974
9,1577307571.0,6.763512219039997
10,1577307605.0,7.053569788639998
11,1577307644.0,6.906816973599999
12,1577307694.0,7.717840846719998
13,1577307744.0,7.248342325919998
14,1577307870.999,10.628598763359998
