,timestamp,latitude,longitude,speed_meters_per_second,distance_meters,elapsed_time_seconds,paved_road,unpaved_road,dirt_road,cobblestone_road,asphalt_road,no_speed_bump,speed_bump_asphalt,speed_bump_cobblestone,good_road_left,regular_road_left,bad_road_left,good_road_right,regular_road_right,bad_road_right
0,1577307744.0,-27.68324890259709,-51.12595010641203,8.11084,8.056318705243964,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,1577307745.0,-27.683305746122567,-51.12589668089048,8.188364,8.213078374852392,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2,1577307746.0,-27.683361111697792,-51.1258403459174,8.29739,8.278031494743065,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3,1577307747.0,-27.683416368379653,-51.12578412422148,8.391629,8.26158431911212,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
4,1577307748.0,-27.683471368243872,-51.12572612835304,8.248762,8.359307208639322,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5,1577307749.0,-27.68352192033792,-51.125676563249485,7.691773,7.435613180408557,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6,1577307750.0,-27.68357290241607,-51.12563208986889,6.9359584,7.152963020931251,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7,1577307751.0,-27.683623779185776,-51.12559817307192,6.5468373,6.555922736443354,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
8,1577307752.0,-27.683674057822323,-51.125570189659584,6.1994867,6.217959452764196,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
9,1577307753.0,-27.68371998079128,-51.12553839617284,5.895069,5.977779802841294,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
10,1577307754.0,-27.683765307094284,-51.12550759136038,5.9439898,5.870519434655538,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
