,timestamp,latitude,longitude,speed_meters_per_second,distance_meters,elapsed_time_seconds,paved_road,unpaved_road,dirt_road,cobblestone_road,asphalt_road,no_speed_bump,speed_bump_asphalt,speed_bump_cobblestone,good_road_left,regular_road_left,bad_road_left,good_road_right,regular_road_right,bad_road_right
0,1577219449.0,-27.68638540809236,-51.13201321053656,6.228379,6.246993792622733,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,1577219450.0,-27.68641534562747,-51.13206616880633,6.30569,6.18844505310364,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2,1577219451.0,-27.686445797399745,-51.13212096806179,6.371227,6.372486897050757,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3,1577219452.0,-27.686475810000672,-51.1321765330005,6.436669,6.411301602107444,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
4,1577219453.0,-27.68650561259953,-51.13223234611399,6.389319,6.420240937042914,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5,1577219454.0,-27.686534363359264,-51.13228804693909,6.286527,6.351482620789653,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6,1577219455.0,-27.68656187318612,-51.13234055229018,5.9981375,6.009938358514047,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7,1577219456.0,-27.686588688246783,-51.13239351661739,5.971087,6.01056717766851,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
8,1577219457.0,-27.686615195241743,-51.13244344335242,5.758399,5.734448805224975,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9,1577219458.0,-27.68664027808624,-51.13249459628442,5.7136855,5.760880568775868,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10,1577219459.0,-27.68666375353183,-51.13254499574464,5.579061,5.61112194161937,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
11,1577219460.0,-27.686687604907167,-51.13259294193552,5.3544264,5.418064021886814,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
12,1577219461.0,-27.68671740493725,-51.132637672568286,5.503457,5.511325091491354,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
13,1577219462.0,-27.68675781515892,-51.13267279030544,5.6730022,5.661569540862837,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
14,1577219463.0,-27.686806092615225,-51.13269037052715,5.5987077,5.623896418339648,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
15,1577219464.0,-27.686857264050225,-51.132690934759445,5.6384373,5.67080602026172,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
16,1577219465.0,-27.68690547552838,-51.13267452982073,5.52404,5.582236312733704,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
