,timestamp,speed_meters_per_second
0,1577219065.999,22.7323325754092
1,1577219130.999,8.545026093119997
2,1577219193.0,5.336988714879999
3,1577219256.0,6.097295205119999
4,1577219317.0,5.467770324639998
5,1577219361.0,6.072307627999998
6,1577219449.0,6.04274334544
7,1577219506.0,6.6442833603199976
8,1577219551.0,6.286963709119998
9,1577219648.0,6.995087847039997
10,1577219670.0,6.3214395644799986
11,1577219730.0,6.156205639039998
12,1577219779.0,8.195108463359997
13,1577219830.0,6.021752820799998
