,timestamp,speed_meters_per_second
0,1577395688.0,9.074722073304601
1,1577395745.0,7.468399062239997
2,1577395814.0,5.679194380479998
3,1577395874.0,6.2341244927999995
4,1577395964.0,7.003017995519999
5,1577396031.0,6.429420056948798
6,1577396100.0,7.369404746879997
7,1577396115.0,7.556634979839997
8,1577396198.0,7.806142030879998
9,1577396271.0,7.195917614719998
10,1577396310.0,8.725767579199998
11,1577396370.0,8.725751555199997
12,1577396476.0,10.547952829439994
13,1577396571.0,22.755737043199993
14,1577396613.0,23.565358199999995
