X,Y
1577308942.999,2.3876157
1577308945.3147895,1.985372890110135
1577308947.630579,2.076103909184456
1577308949.9463685,2.2340833441468715
1577308952.262158,2.108928421769905
1577308954.5779474,2.0618477765113354
1577308956.8937368,1.7963310648182391
1577308959.2095263,1.6792462298548698
1577308961.5253158,1.6259733670278549
1577308963.8411052,1.4779492689647915
1577308966.156895,1.5609251351309776
1577308968.4726844,1.6448722958957673
1577308970.7884738,1.5543172534472942
1577308973.1042633,2.3067202025818823
1577308975.4200528,2.3830561254302265
1577308977.7358422,3.3407644745666505
1577308980.0516317,3.8989082132467745
1577308982.3674212,3.4241073220207214
1577308984.6832106,3.0227657587031604
1577308986.999,3.558336
